estacion,concello,provincia,alt,serie,n_anios,media_max,max_observada,gumbel_mu,gumbel_sigma,retorno_5a,retorno_10a,retorno_20a,retorno_50a,retorno_20a_p5,retorno_20a_p95,periodo_de_la_maxima,ns_tendencia_dec,ns_p_tendencia,ns_significativa,ns_retorno_20a_2026,ns_retorno_20a_2045,sesgo_estacionario,p_superar_max_30a,lat,lon
19020,SARRIA,Lugo,416.0,temperatura maxima,15,38.25,40.81,37.526,1.262,39.42,40.37,41.27,42.45,40.2,42.06,14.0,-0.094,0.9323,False,42.04,41.86,0.77,0.956,42.79668,-7.381559
10058,VERÍN,Ourense,546.0,temperatura maxima,16,38.31,41.46,37.598,1.24,39.46,40.39,41.28,42.44,39.93,42.35,23.0,1.755,0.0021,True,41.92,45.26,0.64,1.0,41.97433,-7.398772
10108,PORTOMARÍN,Lugo,447.0,temperatura maxima,16,37.65,41.09,36.768,1.521,39.05,40.19,41.29,42.7,39.91,42.15,17.6,1.012,0.2333,False,42.33,44.25,1.04,1.0,42.813114,-7.620155
10099,BÓVEDA,Lugo,432.0,temperatura maxima,16,38.42,40.99,37.713,1.219,39.54,40.46,41.33,42.47,40.33,41.98,15.2,0.228,0.7463,False,41.75,42.18,0.42,0.974,42.64761,-7.476274
10154,REDONDELA,Pontevedra,260.0,temperatura maxima,16,37.24,40.98,36.144,1.897,38.99,40.41,41.78,43.55,40.14,42.91,13.3,1.576,0.1871,False,43.72,46.72,1.94,1.0,42.3207,-8.601872
19074,SOBER,Lugo,319.0,temperatura maxima,11,39.09,40.61,38.436,1.138,40.14,41.0,41.82,42.88,40.83,42.14,7.3,0.498,0.7675,False,42.91,43.86,1.09,1.0,42.411137,-7.634422
10500,VERÍN,Ourense,392.0,temperatura maxima,16,39.5,42.16,38.912,1.021,40.44,41.21,41.94,42.9,40.8,42.79,24.6,0.856,0.144,False,42.46,44.09,0.52,1.0,41.95301,-7.439182
10114,RUBIÁ,Ourense,577.0,temperatura maxima,16,39.04,41.39,38.296,1.289,40.23,41.2,42.12,43.33,40.98,42.78,11.5,1.732,0.0176,True,43.19,46.48,1.07,1.0,42.46311,-6.929479
19057,SALVATERRA DE MIÑO,Pontevedra,150.0,temperatura maxima,15,38.62,41.11,37.773,1.464,39.97,41.07,42.12,43.49,40.97,42.64,10.3,2.362,0.0168,True,43.77,48.25,1.65,1.0,42.11854,-8.442646
19030,LAROUCO,Ourense,522.0,temperatura maxima,15,38.89,42.08,38.037,1.479,40.26,41.37,42.43,43.81,40.76,43.38,15.9,1.7,0.052,False,43.38,46.61,0.95,1.0,42.346,-7.153
19038,LAZA,Ourense,575.0,temperatura maxima,15,38.88,41.99,38.018,1.495,40.26,41.38,42.46,43.85,40.79,43.53,14.8,2.266,0.0149,True,43.94,48.24,1.48,1.0,42.067226,-7.472491
19045,PONTEAREAS,Pontevedra,41.0,temperatura maxima,16,38.35,41.9,37.352,1.721,39.93,41.22,42.46,44.07,40.97,43.45,14.6,2.234,0.0308,True,44.16,48.4,1.7,1.0,42.180405,-8.524929
19032,CASTRELO DE MIÑO,Ourense,122.0,temperatura maxima,14,39.8,42.52,39.117,1.19,40.9,41.79,42.65,43.76,41.49,43.43,18.0,0.848,0.3343,False,43.31,44.92,0.66,1.0,42.31235,-8.066759
19054,SALCEDA DE CASELAS,Pontevedra,92.0,temperatura maxima,16,38.89,42.36,37.972,1.586,40.35,41.54,42.68,44.16,41.22,43.61,16.4,1.369,0.2089,False,44.22,46.82,1.54,1.0,42.069332,-8.562408
19048,ARBO,Pontevedra,187.0,temperatura maxima,16,39.18,43.66,38.228,1.652,40.71,41.95,43.13,44.67,41.02,44.59,27.3,1.371,0.076,False,43.56,46.16,0.43,1.0,42.134094,-8.263586
19073,VILAMARTÍN DE VALDEORRAS,Ourense,408.0,temperatura maxima,12,40.88,43.13,40.267,1.066,41.87,42.67,43.43,44.43,42.02,44.3,15.2,1.587,0.0569,False,44.02,47.04,0.59,1.0,42.420258,-7.02708
19022,PANTÓN,Lugo,340.0,temperatura maxima,15,40.44,43.09,39.685,1.304,41.64,42.62,43.56,44.77,42.2,44.35,14.1,-1.406,0.238,False,43.22,40.55,-0.34,0.457,42.53537,-7.70489
19044,A ARNOIA,Ourense,120.0,temperatura maxima,15,41.53,43.7,40.993,0.93,42.39,43.09,43.76,44.62,42.88,44.32,18.9,0.205,0.7743,False,44.14,44.53,0.38,0.961,42.23986,-8.130865
10155,OURENSE,Ourense,139.0,temperatura maxima,11,40.66,44.0,39.82,1.448,41.99,43.08,44.12,45.47,42.22,45.45,18.5,1.476,0.3651,False,44.9,47.7,0.78,1.0,42.353004,-7.877898
19023,RIBAS DE SIL,Lugo,257.0,temperatura maxima,15,40.45,43.32,39.552,1.557,41.89,43.06,44.18,45.63,42.71,44.99,11.8,-0.147,0.904,False,44.66,44.38,0.48,0.946,42.463108,-7.287173
19026,LEIRO,Ourense,105.0,temperatura maxima,16,41.4,44.24,40.696,1.216,42.52,43.43,44.31,45.44,43.15,45.14,18.9,0.593,0.4117,False,45.19,46.32,0.88,0.998,42.359207,-8.118451
10148,OURENSE,Ourense,143.0,temperatura maxima,14,41.31,44.0,40.572,1.273,42.48,43.44,44.35,45.54,43.16,45.14,15.3,1.723,0.1151,False,45.83,49.1,1.48,1.0,42.343487,-7.848846
